cat,cat_,scalerank,featurecla,labelrank,sovereignt,sov_a3,adm0_dif,level,type,admin,adm0_a3,geou_dif,geounit,gu_a3,su_dif,subunit,su_a3,brk_diff,name,name_long,brk_a3,brk_name,brk_group,abbrev,postal,formal_en,formal_fr,note_adm0,note_brk,name_sort,name_alt,mapcolor7,mapcolor8,mapcolor9,mapcolor13,pop_est,gdp_md_est,pop_year,lastcensus,gdp_year,economy,income_grp,wikipedia,fips_10,iso_a2,iso_a3,iso_n3,un_a3,wb_a2,wb_a3,woe_id,adm0_a3_is,adm0_a3_us,adm0_a3_un,adm0_a3_wb,continent,region_un,subregion,region_wb,name_len,long_len,abbrev_len,tiny,homepart
1,2,3,Admin-0 country,6.000000000000000,Finland,FI1,1.000000000000000,2.000000000000000,Country,Aland,ALD,0.000000000000000,Aland,ALD,0.000000000000000,Aland,ALD,0.000000000000000,Aland,Aland Islands,ALD,Aland,,Aland,AI,Ĺland Islands,,Fin.,,Aland,,4.000000000000000,1.000000000000000,4.000000000000000,6.000000000000000,27153.000000000000000,1563.000000000000000,-99.000000000000000,-99.000000000000000,-99.000000000000000,2. Developed region: nonG7,1. High income: OECD,-99.000000000000000,,AX,ALA,248,248,-99,-99,-99.000000000000000,ALA,ALD,-99.000000000000000,-99.000000000000000,Europe,Europe,Northern Europe,Europe & Central Asia,5.000000000000000,13.000000000000000,5.000000000000000,5.000000000000000,-99.000000000000000
2,2,3,Admin-0 country,6.000000000000000,Finland,FI1,1.000000000000000,2.000000000000000,Country,Aland,ALD,0.000000000000000,Aland,ALD,0.000000000000000,Aland,ALD,0.000000000000000,Aland,Aland Islands,ALD,Aland,,Aland,AI,Ĺland Islands,,Fin.,,Aland,,4.000000000000000,1.000000000000000,4.000000000000000,6.000000000000000,27153.000000000000000,1563.000000000000000,-99.000000000000000,-99.000000000000000,-99.000000000000000,2. Developed region: nonG7,1. High income: OECD,-99.000000000000000,,AX,ALA,248,248,-99,-99,-99.000000000000000,ALA,ALD,-99.000000000000000,-99.000000000000000,Europe,Europe,Northern Europe,Europe & Central Asia,5.000000000000000,13.000000000000000,5.000000000000000,5.000000000000000,-99.000000000000000
3,4,1,Admin-0 country,6.000000000000000,Armenia,ARM,0.000000000000000,2.000000000000000,Sovereign country,Armenia,ARM,0.000000000000000,Armenia,ARM,0.000000000000000,Armenia,ARM,0.000000000000000,Armenia,Armenia,ARM,Armenia,,Arm.,ARM,Republic of Armenia,,,,Armenia,,3.000000000000000,1.000000000000000,2.000000000000000,10.000000000000000,2967004.000000000000000,18770.000000000000000,-99.000000000000000,2001.000000000000000,-99.000000000000000,6. Developing region,4. Lower middle income,-99.000000000000000,,AM,ARM,051,051,AM,ARM,-99.000000000000000,ARM,ARM,-99.000000000000000,-99.000000000000000,Asia,Asia,Western Asia,Europe & Central Asia,7.000000000000000,7.000000000000000,4.000000000000000,-99.000000000000000,1.000000000000000
5,15,1,Admin-0 country,2.000000000000000,Germany,DEU,0.000000000000000,2.000000000000000,Sovereign country,Germany,DEU,0.000000000000000,Germany,DEU,0.000000000000000,Germany,DEU,0.000000000000000,Germany,Germany,DEU,Germany,,Ger.,D,Federal Republic of Germany,,,,Germany,,2.000000000000000,5.000000000000000,5.000000000000000,1.000000000000000,82329758.000000000000000,2918000.000000000000000,-99.000000000000000,2011.000000000000000,-99.000000000000000,1. Developed region: G7,1. High income: OECD,-99.000000000000000,,DE,DEU,276,276,DE,DEU,-99.000000000000000,DEU,DEU,-99.000000000000000,-99.000000000000000,Europe,Europe,Western Europe,Europe & Central Asia,7.000000000000000,7.000000000000000,4.000000000000000,-99.000000000000000,1.000000000000000
7,16,1,Admin-0 country,4.000000000000000,Denmark,DN1,1.000000000000000,2.000000000000000,Country,Denmark,DNK,0.000000000000000,Denmark,DNK,0.000000000000000,Denmark,DNK,0.000000000000000,Denmark,Denmark,DNK,Denmark,,Den.,DK,Kingdom of Denmark,,,,Denmark,,4.000000000000000,1.000000000000000,3.000000000000000,12.000000000000000,5500510.000000000000000,203600.000000000000000,-99.000000000000000,2011.000000000000000,-99.000000000000000,2. Developed region: nonG7,1. High income: OECD,-99.000000000000000,,DK,DNK,208,208,DK,DNK,-99.000000000000000,DNK,DNK,-99.000000000000000,-99.000000000000000,Europe,Europe,Northern Europe,Europe & Central Asia,7.000000000000000,7.000000000000000,4.000000000000000,-99.000000000000000,1.000000000000000
8,16,1,Admin-0 country,4.000000000000000,Denmark,DN1,1.000000000000000,2.000000000000000,Country,Denmark,DNK,0.000000000000000,Denmark,DNK,0.000000000000000,Denmark,DNK,0.000000000000000,Denmark,Denmark,DNK,Denmark,,Den.,DK,Kingdom of Denmark,,,,Denmark,,4.000000000000000,1.000000000000000,3.000000000000000,12.000000000000000,5500510.000000000000000,203600.000000000000000,-99.000000000000000,2011.000000000000000,-99.000000000000000,2. Developed region: nonG7,1. High income: OECD,-99.000000000000000,,DK,DNK,208,208,DK,DNK,-99.000000000000000,DNK,DNK,-99.000000000000000,-99.000000000000000,Europe,Europe,Northern Europe,Europe & Central Asia,7.000000000000000,7.000000000000000,4.000000000000000,-99.000000000000000,1.000000000000000
11,20,1,Admin-0 country,3.000000000000000,Finland,FI1,1.000000000000000,2.000000000000000,Country,Finland,FIN,0.000000000000000,Finland,FIN,0.000000000000000,Finland,FIN,0.000000000000000,Finland,Finland,FIN,Finland,,Fin.,FIN,Republic of Finland,,,,Finland,,4.000000000000000,1.000000000000000,4.000000000000000,6.000000000000000,5250275.000000000000000,193500.000000000000000,-99.000000000000000,2010.000000000000000,-99.000000000000000,2. Developed region: nonG7,1. High income: OECD,-99.000000000000000,,FI,FIN,246,246,FI,FIN,-99.000000000000000,FIN,FIN,-99.000000000000000,-99.000000000000000,Europe,Europe,Northern Europe,Europe & Central Asia,7.000000000000000,7.000000000000000,4.000000000000000,-99.000000000000000,1.000000000000000
12,20,1,Admin-0 country,3.000000000000000,Finland,FI1,1.000000000000000,2.000000000000000,Country,Finland,FIN,0.000000000000000,Finland,FIN,0.000000000000000,Finland,FIN,0.000000000000000,Finland,Finland,FIN,Finland,,Fin.,FIN,Republic of Finland,,,,Finland,,4.000000000000000,1.000000000000000,4.000000000000000,6.000000000000000,5250275.000000000000000,193500.000000000000000,-99.000000000000000,2010.000000000000000,-99.000000000000000,2. Developed region: nonG7,1. High income: OECD,-99.000000000000000,,FI,FIN,246,246,FI,FIN,-99.000000000000000,FIN,FIN,-99.000000000000000,-99.000000000000000,Europe,Europe,Northern Europe,Europe & Central Asia,7.000000000000000,7.000000000000000,4.000000000000000,-99.000000000000000,1.000000000000000
13,20,1,Admin-0 country,3.000000000000000,Finland,FI1,1.000000000000000,2.000000000000000,Country,Finland,FIN,0.000000000000000,Finland,FIN,0.000000000000000,Finland,FIN,0.000000000000000,Finland,Finland,FIN,Finland,,Fin.,FIN,Republic of Finland,,,,Finland,,4.000000000000000,1.000000000000000,4.000000000000000,6.000000000000000,5250275.000000000000000,193500.000000000000000,-99.000000000000000,2010.000000000000000,-99.000000000000000,2. Developed region: nonG7,1. High income: OECD,-99.000000000000000,,FI,FIN,246,246,FI,FIN,-99.000000000000000,FIN,FIN,-99.000000000000000,-99.000000000000000,Europe,Europe,Northern Europe,Europe & Central Asia,7.000000000000000,7.000000000000000,4.000000000000000,-99.000000000000000,1.000000000000000
15,22,3,Admin-0 country,6.000000000000000,Denmark,DN1,1.000000000000000,2.000000000000000,Dependency,Faroe Islands,FRO,0.000000000000000,Faroe Islands,FRO,0.000000000000000,Faroe Islands,FRO,0.000000000000000,Faeroe Is.,Faeroe Islands,FRO,Faeroe Islands,,Faeroe Is.,FO,Fřroyar Is. (Faeroe Is.),,Den.,,Faeroe Islands,,4.000000000000000,1.000000000000000,3.000000000000000,12.000000000000000,48856.000000000000000,1000.000000000000000,-99.000000000000000,2011.000000000000000,-99.000000000000000,2. Developed region: nonG7,2. High income: nonOECD,-99.000000000000000,,FO,FRO,234,234,FO,FRO,-99.000000000000000,FRO,FRO,-99.000000000000000,-99.000000000000000,Europe,Europe,Northern Europe,Europe & Central Asia,10.000000000000000,14.000000000000000,10.000000000000000,3.000000000000000,-99.000000000000000
